Part_ID,Timestamp,Shift,Machine_ID,Operator_ID,Thickness_mm,Diameter_mm,Surface_Roughness_um,Runout_mm
BR_0043,2025-06-01 09:07:20.403296302,Morning,CNC_5,OP_01,11.933,305.84,1.08,0.0099
BR_0044,2025-06-01 09:19:20.530162519,Morning,CNC_2,OP_03,12.029,305.94,1.06,0.0122
BR_0045,2025-06-01 09:20:50.367495571,Morning,CNC_2,OP_04,12.067,306.0,1.33,0.0123
BR_0046,2025-06-01 09:26:16.244235140,Morning,CNC_5,OP_04,12.012,306.13,1.22,0.0094
BR_0047,2025-06-01 09:28:08.308209637,Morning,CNC_1,OP_01,12.03,300.48,1.64,0.0117
BR_0048,2025-06-01 09:31:48.541478409,Morning,CNC_4,OP_03,11.922,303.01,1.43,0.0172
BR_0049,2025-06-01 09:35:45.908617803,Morning,CNC_2,OP_01,12.019,305.75,1.13,0.0183
BR_0050,2025-06-01 09:36:47.225197655,Morning,CNC_5,OP_01,11.896,305.67,1.43,0.0158
BR_0051,2025-06-01 09:54:15.067337475,Morning,CNC_3,OP_04,11.94,299.92,0.99,0.0423
BR_0052,2025-06-01 10:01:42.740950616,Morning,CNC_2,OP_04,12.067,305.77,1.16,0.0348
BR_0053,2025-06-01 10:15:44.269276403,Morning,CNC_4,OP_02,12.001,303.11,0.86,0.0053
BR_0054,2025-06-01 10:26:59.914875663,Morning,CNC_1,OP_03,12.01,300.11,0.95,0.0078
BR_0055,2025-06-01 10:31:33.231199377,Morning,CNC_2,OP_03,12.028,305.97,0.77,0.0241
BR_0056,2025-06-01 10:44:18.061813157,Morning,CNC_2,OP_04,12.04,306.13,0.85,0.0046
BR_0057,2025-06-01 10:45:18.061813157,Morning,CNC_5,OP_04,11.986,306.01,1.09,0.0144
BR_0058,2025-06-01 10:46:23.502221546,Morning,CNC_3,OP_04,12.015,300.37,0.48,0.0333
BR_0059,2025-06-01 10:47:23.502221546,Morning,CNC_3,OP_03,11.997,300.13,0.54,0.014
BR_0060,2025-06-01 10:49:21.561847586,Morning,CNC_1,OP_02,11.928,300.18,0.52,0.0036
BR_0061,2025-06-01 10:51:49.200935124,Morning,CNC_4,OP_03,11.982,302.71,0.85,0.018
BR_0062,2025-06-01 10:53:24.169068086,Morning,CNC_1,OP_04,12.026,299.77,1.4,0.0117
BR_0063,2025-06-01 11:02:13.536427658,Morning,CNC_2,OP_04,11.981,306.1,1.22,0.0316
BR_0064,2025-06-01 11:04:25.904527516,Morning,CNC_2,OP_02,11.981,305.69,0.72,0.007
BR_0065,2025-06-01 11:06:04.845379556,Morning,CNC_3,OP_01,12.039,299.88,0.99,0.0114
BR_0066,2025-06-01 11:09:59.567504518,Morning,CNC_4,OP_01,12.008,303.24,0.9,0.0183
BR_0067,2025-06-01 11:10:59.567504518,Morning,CNC_5,OP_03,12.018,305.87,1.93,0.0126
BR_0068,2025-06-01 11:19:05.712583250,Morning,CNC_4,OP_01,11.919,302.76,1.01,0.0071
BR_0069,2025-06-01 11:20:05.712583250,Morning,CNC_2,OP_01,12.022,306.13,0.39,0.002
BR_0070,2025-06-01 11:41:45.956485126,Morning,CNC_5,OP_03,11.945,306.41,0.67,0.01
BR_0071,2025-06-01 11:49:09.801617998,Morning,CNC_4,OP_04,11.999,302.84,0.41,0.0285
BR_0072,2025-06-01 11:50:16.263450149,Morning,CNC_4,OP_01,11.947,303.24,0.68,0.0067
BR_0073,2025-06-01 11:51:16.263450149,Morning,CNC_5,OP_04,12.047,305.81,1.27,0.0068
BR_0074,2025-06-01 11:59:43.232483394,Morning,CNC_2,OP_03,12.091,305.98,1.07,0.015
BR_0075,2025-06-01 12:05:51.361255610,Morning,CNC_4,OP_04,11.993,302.99,0.83,0.0047
BR_0076,2025-06-01 12:12:23.060128246,Morning,CNC_5,OP_04,11.992,305.84,1.32,0.0137
BR_0077,2025-06-01 12:19:45.624486059,Morning,CNC_2,OP_03,12.052,306.18,1.03,0.0099
BR_0078,2025-06-01 12:20:45.624486059,Morning,CNC_5,OP_04,12.029,305.69,1.7,0.015
BR_0079,2025-06-01 12:22:58.792287783,Morning,CNC_5,OP_01,11.996,306.04,0.82,0.0059
BR_0080,2025-06-01 12:23:58.792287783,Morning,CNC_4,OP_01,12.018,303.21,0.47,0.0033
BR_0081,2025-06-01 12:33:55.351159280,Morning,CNC_2,OP_01,12.101,306.16,0.98,0.0187
BR_0082,2025-06-01 12:38:48.241516793,Morning,CNC_4,OP_01,11.966,303.1,1.25,0.009
BR_0083,2025-06-01 12:40:48.787157168,Morning,CNC_1,OP_04,11.977,300.32,1.0,0.0211
BR_0084,2025-06-01 12:41:48.787157168,Morning,CNC_1,OP_01,12.046,299.96,1.58,0.0221
BR_0085,2025-06-01 12:43:40.533662291,Morning,CNC_2,OP_04,12.106,305.7,0.86,0.0065
BR_0086,2025-06-01 12:45:38.527926246,Morning,CNC_5,OP_02,12.009,306.03,0.52,0.0265
BR_0087,2025-06-01 12:52:10.890661433,Morning,CNC_4,OP_04,11.915,302.97,0.65,0.005
BR_0088,2025-06-01 12:57:15.357469110,Morning,CNC_4,OP_01,12.02,302.58,0.39,0.0179
BR_0089,2025-06-01 13:08:10.033042830,Morning,CNC_2,OP_02,11.974,305.77,1.11,0.011
BR_0090,2025-06-01 13:11:21.752882842,Morning,CNC_2,OP_03,12.024,305.75,1.06,0.0073
BR_0091,2025-06-01 13:12:21.752882842,Morning,CNC_1,OP_04,11.939,299.84,1.32,0.0344
BR_0092,2025-06-01 13:18:36.490786136,Morning,CNC_3,OP_01,11.926,299.93,0.37,0.0349
BR_0093,2025-06-01 13:25:45.608612059,Morning,CNC_2,OP_01,11.985,305.94,0.99,0.0121
BR_0094,2025-06-01 13:29:52.774860524,Morning,CNC_3,OP_01,12.083,299.84,0.6,0.0093
BR_0095,2025-06-01 13:37:14.941850540,Morning,CNC_2,OP_03,11.931,305.75,0.4,0.0251
BR_0096,2025-06-01 13:40:39.186269993,Morning,CNC_5,OP_02,11.984,306.08,1.21,0.0151
BR_0097,2025-06-01 13:44:21.089921626,Morning,CNC_5,OP_02,11.927,306.02,1.62,0.0112
BR_0098,2025-06-01 13:47:08.434179798,Morning,CNC_1,OP_01,12.022,300.03,0.4,0.0075
BR_0099,2025-06-01 13:48:08.434179798,Morning,CNC_1,OP_04,12.019,300.36,1.29,0.0245
BR_0100,2025-06-01 13:49:08.434179798,Morning,CNC_3,OP_01,11.929,300.03,0.72,0.0232
BR_0101,2025-06-01 13:50:08.434179798,Morning,CNC_2,OP_01,12.064,305.93,0.96,0.0328
BR_0102,2025-06-01 13:55:11.953045076,Morning,CNC_4,OP_04,11.904,302.98,1.29,0.0098
BR_0103,2025-06-01 13:57:05.172057714,Morning,CNC_1,OP_01,12.087,300.02,0.61,0.0144
BR_0104,2025-06-01 14:00:38.303210854,Afternoon,CNC_4,OP_07,12.069,303.12,1.03,0.0078
BR_0105,2025-06-01 14:12:32.682869807,Afternoon,CNC_4,OP_05,12.015,302.99,0.9,0.0194
BR_0106,2025-06-01 14:13:58.704516701,Afternoon,CNC_2,OP_07,12.045,305.61,0.85,0.0145
BR_0107,2025-06-01 14:16:37.189109165,Afternoon,CNC_3,OP_05,11.991,299.91,0.54,0.0076
BR_0108,2025-06-01 14:23:39.813853426,Afternoon,CNC_2,OP_06,11.923,306.0,1.41,0.0197
BR_0109,2025-06-01 14:24:57.755400501,Afternoon,CNC_1,OP_08,12.021,300.26,2.42,0.0156
BR_0110,2025-06-01 14:25:57.755400501,Afternoon,CNC_4,OP_06,11.921,302.84,1.73,0.0147
BR_0111,2025-06-01 14:27:40.397491667,Afternoon,CNC_2,OP_05,11.999,305.67,0.85,0.0114
BR_0112,2025-06-01 14:28:40.397491667,Afternoon,CNC_2,OP_05,11.938,306.01,1.46,0.0243
BR_0113,2025-06-01 14:41:56.882517431,Afternoon,CNC_2,OP_07,12.049,306.17,1.03,0.0109
BR_0114,2025-06-01 14:50:12.148641576,Afternoon,CNC_1,OP_05,12.029,299.92,0.43,0.0046
BR_0115,2025-06-01 14:55:13.196898732,Afternoon,CNC_3,OP_05,12.034,300.48,0.83,0.0081
BR_0116,2025-06-01 15:05:28.652817888,Afternoon,CNC_2,OP_05,12.017,306.43,1.68,0.0198
BR_0117,2025-06-01 15:13:37.043500110,Afternoon,CNC_1,OP_06,12.104,299.99,1.25,0.0084
BR_0118,2025-06-01 15:14:38.992143017,Afternoon,CNC_4,OP_07,12.051,303.04,1.43,0.0248
BR_0119,2025-06-01 15:25:48.236164587,Afternoon,CNC_5,OP_06,12.085,306.27,0.53,0.0278
BR_0120,2025-06-01 15:29:40.766135176,Afternoon,CNC_1,OP_07,11.965,299.98,0.71,0.0124
BR_0121,2025-06-01 15:37:54.970622567,Afternoon,CNC_5,OP_06,11.973,305.84,0.83,0.0184
BR_0122,2025-06-01 15:49:14.243417352,Afternoon,CNC_2,OP_05,11.879,306.18,1.18,0.0141
BR_0123,2025-06-01 15:51:09.062632277,Afternoon,CNC_2,OP_06,11.98,306.09,1.54,0.0134
BR_0124,2025-06-01 15:52:09.062632277,Afternoon,CNC_1,OP_06,12.009,299.84,0.79,0.0078
BR_0125,2025-06-01 15:53:26.668656118,Afternoon,CNC_5,OP_07,12.022,306.06,0.66,0.0126
BR_0126,2025-06-01 15:56:13.785963942,Afternoon,CNC_2,OP_07,11.973,305.97,0.81,0.0326
BR_0127,2025-06-01 16:04:44.934881933,Afternoon,CNC_4,OP_06,12.037,302.92,0.38,0.026
BR_0128,2025-06-01 16:14:36.338373496,Afternoon,CNC_3,OP_07,12.033,299.84,0.79,0.0312
BR_0129,2025-06-01 16:15:36.338373496,Afternoon,CNC_3,OP_07,11.976,300.02,0.64,0.0392
BR_0130,2025-06-01 16:19:10.801221297,Afternoon,CNC_2,OP_07,11.952,305.95,1.14,0.0095
BR_0131,2025-06-01 16:21:52.883217572,Afternoon,CNC_5,OP_08,12.003,306.06,2.45,0.0158
BR_0132,2025-06-01 16:23:08.233419054,Afternoon,CNC_2,OP_07,12.005,306.16,1.1,0.0131
BR_0133,2025-06-01 16:24:08.233419054,Afternoon,CNC_5,OP_08,11.97,306.05,1.61,0.0217
BR_0134,2025-06-01 16:26:11.805993012,Afternoon,CNC_4,OP_08,11.987,303.05,0.87,0.0122
BR_0135,2025-06-01 16:40:30.742329819,Afternoon,CNC_5,OP_07,11.929,305.89,0.56,0.0271
BR_0136,2025-06-01 16:42:27.857470683,Afternoon,CNC_2,OP_06,12.034,306.23,0.34,0.0163
BR_0137,2025-06-01 16:46:07.293312411,Afternoon,CNC_4,OP_07,12.035,302.83,1.07,0.0174
BR_0138,2025-06-01 16:52:11.519405475,Afternoon,CNC_1,OP_05,12.014,299.68,0.79,0.0067
BR_0139,2025-06-01 16:54:27.111755165,Afternoon,CNC_3,OP_06,12.038,299.79,1.62,0.012
BR_0140,2025-06-01 17:12:17.451196652,Afternoon,CNC_2,OP_08,12.007,306.21,2.78,0.0215
BR_0141,2025-06-01 17:28:42.054156014,Afternoon,CNC_2,OP_08,12.081,306.09,2.07,0.0498
BR_0142,2025-06-01 17:30:09.072544511,Afternoon,CNC_2,OP_06,11.935,306.26,0.69,0.0095
BR_0143,2025-06-01 17:33:35.370328050,Afternoon,CNC_4,OP_06,12.01,302.74,1.57,0.0198
BR_0144,2025-06-01 17:35:22.749466073,Afternoon,CNC_1,OP_07,12.057,300.46,0.66,0.0503
BR_0145,2025-06-01 17:37:03.324368987,Afternoon,CNC_5,OP_08,12.075,305.94,1.47,0.0124
BR_0146,2025-06-01 17:38:03.324368987,Afternoon,CNC_1,OP_05,12.052,299.65,0.73,0.0075
BR_0147,2025-06-01 17:42:45.471990281,Afternoon,CNC_4,OP_07,11.948,303.44,1.56,0.0177
BR_0148,2025-06-01 17:46:15.027880129,Afternoon,CNC_2,OP_06,11.917,305.74,0.85,0.0143
BR_0149,2025-06-01 17:47:15.027880129,Afternoon,CNC_3,OP_08,11.992,299.92,1.44,0.0347
BR_0150,2025-06-01 17:48:53.015656432,Afternoon,CNC_2,OP_06,12.018,305.96,1.31,0.0088
BR_0151,2025-06-01 18:00:49.673941758,Afternoon,CNC_5,OP_06,12.047,306.09,0.83,0.0114
BR_0152,2025-06-01 18:02:11.832107400,Afternoon,CNC_3,OP_06,11.945,299.84,0.65,0.009
BR_0153,2025-06-01 18:03:11.832107400,Afternoon,CNC_2,OP_07,12.031,306.21,0.91,0.015
BR_0154,2025-06-01 18:06:33.513740242,Afternoon,CNC_3,OP_05,11.866,300.15,0.76,0.0059
BR_0155,2025-06-01 18:27:46.724835026,Afternoon,CNC_1,OP_05,11.976,300.0,1.78,0.0233
BR_0156,2025-06-01 18:29:09.868279093,Afternoon,CNC_4,OP_08,12.043,303.26,1.41,0.0157
BR_0157,2025-06-01 18:34:44.414782182,Afternoon,CNC_2,OP_06,11.94,305.99,0.37,0.0159
BR_0158,2025-06-01 18:41:54.581070053,Afternoon,CNC_5,OP_05,11.945,305.94,1.76,0.0167
BR_0159,2025-06-01 18:43:15.981021753,Afternoon,CNC_1,OP_06,11.987,300.4,1.07,0.0138
BR_0160,2025-06-01 18:49:46.805700300,Afternoon,CNC_2,OP_08,12.009,306.06,2.44,0.0368
BR_0161,2025-06-01 18:52:04.362540079,Afternoon,CNC_1,OP_06,11.958,299.8,1.4,0.0114
BR_0162,2025-06-01 18:57:04.513664398,Afternoon,CNC_5,OP_05,11.998,305.83,1.22,0.0105
BR_0163,2025-06-01 19:02:05.665012539,Afternoon,CNC_2,OP_06,11.978,306.0,1.16,0.016
BR_0164,2025-06-01 19:05:55.880587524,Afternoon,CNC_5,OP_05,12.058,305.52,0.38,0.0147
BR_0165,2025-06-01 19:06:55.880587524,Afternoon,CNC_3,OP_08,11.976,299.87,2.87,0.0207
BR_0166,2025-06-01 19:15:56.974025797,Afternoon,CNC_5,OP_06,12.001,305.98,0.8,0.0133
BR_0167,2025-06-01 19:17:53.017113897,Afternoon,CNC_3,OP_05,12.008,299.97,2.18,0.0155
BR_0168,2025-06-01 19:18:54.946745879,Afternoon,CNC_2,OP_08,11.979,305.75,4.2,0.0245
BR_0169,2025-06-01 19:19:54.946745879,Afternoon,CNC_3,OP_06,12.038,299.91,0.94,0.0094
BR_0170,2025-06-01 19:24:23.080267257,Afternoon,CNC_2,OP_08,12.049,306.24,4.21,0.0479
BR_0171,2025-06-01 19:30:02.635787537,Afternoon,CNC_2,OP_05,11.976,306.19,0.97,0.023
BR_0172,2025-06-01 19:31:02.635787537,Afternoon,CNC_4,OP_06,12.015,303.02,1.22,0.0096
BR_0173,2025-06-01 19:34:37.924962901,Afternoon,CNC_2,OP_06,11.954,305.99,1.03,0.0076
BR_0174,2025-06-01 19:35:54.972207017,Afternoon,CNC_3,OP_06,12.028,299.97,0.68,0.0064
BR_0175,2025-06-01 19:41:05.809509481,Afternoon,CNC_4,OP_08,12.012,303.05,2.05,0.0157
BR_0176,2025-06-01 19:42:05.809509481,Afternoon,CNC_4,OP_08,11.982,303.02,1.5,0.0262
BR_0177,2025-06-01 19:47:58.073267751,Afternoon,CNC_2,OP_05,12.016,306.06,0.91,0.0104
BR_0178,2025-06-01 19:50:24.760878045,Afternoon,CNC_5,OP_07,12.03,306.1,1.87,0.0134
BR_0179,2025-06-01 20:04:12.864023386,Afternoon,CNC_5,OP_06,12.062,305.76,1.12,0.0126
BR_0180,2025-06-01 20:05:12.864023386,Afternoon,CNC_4,OP_06,12.02,302.94,1.57,0.0112
BR_0181,2025-06-01 20:07:18.003753584,Afternoon,CNC_2,OP_05,12.044,306.04,0.99,0.0133
BR_0182,2025-06-01 20:08:18.003753584,Afternoon,CNC_5,OP_06,12.095,305.81,1.12,0.0189
BR_0183,2025-06-01 20:21:13.860872729,Afternoon,CNC_2,OP_08,11.948,305.87,2.64,0.0198
BR_0184,2025-06-01 20:31:43.360984877,Afternoon,CNC_2,OP_08,12.059,305.96,0.9,0.0084
BR_0185,2025-06-01 20:33:12.859195895,Afternoon,CNC_4,OP_06,11.956,302.97,0.65,0.0113
BR_0186,2025-06-01 20:38:36.488017608,Afternoon,CNC_4,OP_06,11.964,303.04,1.42,0.0235
BR_0187,2025-06-01 20:47:06.333239399,Afternoon,CNC_1,OP_08,12.014,299.83,2.21,0.0139
BR_0188,2025-06-01 20:51:09.372947604,Afternoon,CNC_5,OP_06,11.968,306.19,0.5,0.0052
BR_0189,2025-06-01 20:54:55.656770662,Afternoon,CNC_5,OP_08,11.959,305.96,2.86,0.0201
BR_0190,2025-06-01 20:56:18.719884293,Afternoon,CNC_5,OP_07,11.997,306.03,1.55,0.0151
BR_0191,2025-06-01 20:57:18.719884293,Afternoon,CNC_3,OP_07,11.983,299.93,0.32,0.006
BR_0192,2025-06-01 21:08:41.256851851,Afternoon,CNC_2,OP_06,11.967,306.05,1.36,0.0091
BR_0193,2025-06-01 21:20:13.289180145,Afternoon,CNC_4,OP_06,11.952,303.33,1.3,0.011
BR_0194,2025-06-01 21:25:14.090155989,Afternoon,CNC_5,OP_06,12.071,305.92,1.69,0.0162
BR_0195,2025-06-01 21:27:18.304108932,Afternoon,CNC_1,OP_08,11.955,299.89,2.79,0.0168
BR_0196,2025-06-01 21:29:27.174393675,Afternoon,CNC_5,OP_07,11.992,305.83,1.89,0.024
BR_0197,2025-06-01 21:35:55.514022593,Afternoon,CNC_2,OP_07,12.056,305.99,0.63,0.0132
BR_0198,2025-06-01 21:47:17.743227325,Afternoon,CNC_2,OP_05,12.04,305.99,0.79,0.0116
BR_0199,2025-06-01 21:58:12.082998143,Afternoon,CNC_4,OP_05,12.012,303.01,1.74,0.018
BR_0200,2025-06-01 22:05:46.151655722,Night,CNC_3,OP_10,11.969,300.09,0.72,0.0193
BR_0201,2025-06-01 22:10:54.344863792,Night,CNC_4,OP_12,11.999,303.07,2.48,0.07
BR_0202,2025-06-01 22:11:54.344863792,Night,CNC_5,OP_10,11.944,306.0,0.39,0.0219
BR_0203,2025-06-01 22:12:54.344863792,Night,CNC_1,OP_11,12.001,300.39,0.38,0.0147
BR_0204,2025-06-01 22:24:20.814013845,Night,CNC_4,OP_10,11.985,303.14,0.53,0.0224
BR_0205,2025-06-01 22:29:00.562197934,Night,CNC_3,OP_10,11.99,299.78,0.98,0.0163
BR_0206,2025-06-01 22:30:00.562197934,Night,CNC_4,OP_11,11.961,302.69,1.54,0.0164
BR_0207,2025-06-01 22:31:00.562197934,Night,CNC_2,OP_11,11.915,305.86,1.2,0.014
BR_0208,2025-06-01 22:36:27.310914121,Night,CNC_5,OP_11,12.063,306.03,1.15,0.0159
BR_0209,2025-06-01 22:37:27.310914121,Night,CNC_5,OP_11,12.051,305.84,0.88,0.0094
BR_0210,2025-06-01 22:38:27.310914121,Night,CNC_5,OP_09,12.044,305.87,0.41,0.009
BR_0211,2025-06-01 22:42:26.020267962,Night,CNC_5,OP_12,12.019,306.01,0.47,0.0087
BR_0212,2025-06-01 22:48:19.214853958,Night,CNC_5,OP_12,12.009,305.93,0.36,0.0391
BR_0213,2025-06-01 22:53:35.847298598,Night,CNC_5,OP_11,11.965,305.59,0.66,0.0089
BR_0214,2025-06-01 22:54:52.032258790,Night,CNC_1,OP_12,11.987,300.22,0.56,0.0147
BR_0215,2025-06-01 23:01:05.657445459,Night,CNC_3,OP_12,12.073,300.17,0.98,0.0351
BR_0216,2025-06-01 23:02:26.904573174,Night,CNC_5,OP_12,12.084,305.74,0.81,0.0184
BR_0217,2025-06-01 23:04:24.995045849,Night,CNC_3,OP_12,11.991,300.01,0.66,0.0152
BR_0218,2025-06-01 23:11:16.702311348,Night,CNC_5,OP_11,12.0,305.78,0.84,0.0228
BR_0219,2025-06-01 23:16:31.334455638,Night,CNC_4,OP_10,12.037,302.88,0.9,0.0139
BR_0220,2025-06-01 23:25:58.921278877,Night,CNC_5,OP_10,12.005,306.1,0.45,0.0094
BR_0221,2025-06-01 23:31:20.465265327,Night,CNC_2,OP_10,12.008,306.16,0.8,0.0278
BR_0222,2025-06-01 23:35:32.478557003,Night,CNC_1,OP_09,12.014,300.16,0.64,0.0088
BR_0223,2025-06-01 23:36:32.478557003,Night,CNC_4,OP_12,11.953,303.05,0.63,0.0246
BR_0224,2025-06-01 23:38:50.003449165,Night,CNC_4,OP_11,11.981,303.26,0.95,0.0109
BR_0225,2025-06-01 23:40:22.451493522,Night,CNC_2,OP_11,11.993,305.88,1.53,0.0225
BR_0226,2025-06-01 23:41:46.361554620,Night,CNC_5,OP_09,11.874,305.92,0.96,0.0163
BR_0227,2025-06-01 23:59:50.054376468,Night,CNC_1,OP_11,12.021,299.48,2.41,0.0824
BR_0228,2025-06-02 00:02:19.870625580,Night,CNC_4,OP_10,12.116,302.98,1.02,0.015
BR_0229,2025-06-02 00:13:27.687188954,Night,CNC_1,OP_09,11.996,300.12,1.51,0.0441
BR_0230,2025-06-02 00:18:26.887504674,Night,CNC_4,OP_11,12.002,303.06,0.52,0.0128
BR_0231,2025-06-02 00:26:22.035080480,Night,CNC_5,OP_09,11.958,305.88,0.55,0.0192
BR_0232,2025-06-02 00:29:51.565677796,Night,CNC_4,OP_09,11.945,303.17,0.98,0.0202
BR_0233,2025-06-02 00:34:09.612448588,Night,CNC_4,OP_11,11.984,302.99,0.69,0.0094
BR_0234,2025-06-02 00:37:33.100478590,Night,CNC_3,OP_10,12.031,300.15,0.31,0.0202
BR_0235,2025-06-02 00:38:38.264947187,Night,CNC_5,OP_11,11.988,306.1,1.45,0.0146
BR_0236,2025-06-02 00:45:02.793488106,Night,CNC_2,OP_12,11.981,306.28,1.14,0.0156
BR_0237,2025-06-02 00:46:41.666698615,Night,CNC_2,OP_12,12.025,306.07,0.96,0.025
BR_0238,2025-06-02 00:47:41.666698615,Night,CNC_5,OP_11,12.01,306.12,0.88,0.0383
BR_0239,2025-06-02 00:52:52.757334503,Night,CNC_2,OP_10,12.014,305.98,1.0,0.0182
BR_0240,2025-06-02 00:53:52.757334503,Night,CNC_5,OP_12,12.06,305.9,0.77,0.0162
BR_0241,2025-06-02 01:07:59.082278684,Night,CNC_2,OP_12,12.053,306.1,0.63,0.0152
BR_0242,2025-06-02 01:23:22.351002520,Night,CNC_3,OP_11,12.075,300.3,1.23,0.0281
BR_0243,2025-06-02 01:35:41.403967910,Night,CNC_2,OP_11,11.939,305.88,0.62,0.0579
BR_0244,2025-06-02 01:38:00.090186859,Night,CNC_4,OP_11,12.043,302.95,1.04,0.0203
BR_0245,2025-06-02 01:39:00.090186859,Night,CNC_5,OP_09,12.082,306.01,2.08,0.0201
BR_0246,2025-06-02 01:52:10.747224058,Night,CNC_1,OP_09,11.936,300.14,1.65,0.0157
BR_0247,2025-06-02 01:54:58.428707173,Night,CNC_1,OP_09,12.017,300.07,0.71,0.0108
BR_0248,2025-06-02 02:11:58.681312009,Night,CNC_5,OP_11,11.973,306.18,0.79,0.0283
BR_0249,2025-06-02 02:28:32.801954848,Night,CNC_3,OP_10,11.999,300.39,1.8,0.0627
BR_0250,2025-06-02 02:38:08.018060001,Night,CNC_2,OP_12,12.057,305.87,0.89,0.0214
